GRID Exact Cut ID,Easting,Northing
417,525500,158500
418,526500,158500
419,527500,158500
420,510500,157500
421,511500,157500
422,512500,157500
423,513500,157500
424,516500,157500
425,517500,157500
426,518500,157500
427,519500,157500
428,520500,157500
429,521500,157500
430,522500,157500
431,523500,157500
432,524500,157500
433,525500,157500
434,526500,157500
435,527500,157500
436,517500,156500
437,518500,156500
438,519500,156500
439,520500,156500
440,521500,156500
441,522500,156500
442,523500,156500
443,524500,156500
444,525500,156500
445,526500,156500
446,527500,156500
447,517500,155500
448,518500,155500
449,519500,155500
450,520500,155500
451,521500,155500
452,522500,155500
453,523500,155500
454,524500,155500
455,525500,155500
456,526500,155500
457,527500,155500
458,540500,155500
459,541500,155500
460,542500,155500
461,543500,155500
462,544500,155500
463,545500,155500
464,546500,155500
465,547500,155500
466,521500,154500
467,522500,154500
468,523500,154500
469,524500,154500
470,525500,154500
471,526500,154500
472,527500,154500
473,528500,154500
474,529500,154500
475,530500,154500
476,531500,154500
477,532500,154500
478,533500,154500
479,534500,154500
480,535500,154500
481,536500,154500
482,537500,154500
483,538500,154500
484,539500,154500
485,540500,154500
486,541500,154500
487,542500,154500
488,543500,154500
489,544500,154500
490,522500,153500
491,523500,153500
492,524500,153500
493,525500,153500
494,526500,153500
495,527500,153500
496,528500,153500
497,529500,153500
498,530500,153500
499,531500,153500
500,532500,153500
501,533500,153500
502,534500,153500
503,535500,153500
504,536500,153500
505,537500,153500
506,538500,153500
507,539500,153500
508,540500,153500
509,524500,152500
510,525500,152500
511,526500,152500
512,527500,152500
513,530500,152500
514,531500,152500
515,532500,152500
516,533500,152500
517,534500,152500
518,535500,152500
519,536500,152500
520,525500,200500
521,527500,200500
522,527500,200500
523,529500,200500
524,529500,200500
525,531500,200500
526,531500,200500
527,533500,200500
528,533500,200500
529,535500,200500
530,535500,200500
531,537500,200500
532,517500,198500
533,519500,198500
534,521500,198500
535,523500,198500
536,523500,198500
537,525500,198500
538,525500,198500
539,525500,198500
540,527500,198500
541,529500,198500
542,531500,198500
543,533500,198500
544,535500,198500
545,537500,198500
546,537500,198500
547,517500,196500
548,519500,196500
549,521500,196500
550,521500,196500
551,523500,196500
552,525500,196500
553,527500,196500
554,527500,196500
555,529500,196500
556,531500,196500
557,533500,196500
558,535500,196500
559,537500,196500
560,537500,196500
561,537500,196500
562,539500,196500
563,510500,194500
564,512500,194500
565,514500,194500
566,516500,194500
567,516500,194500
568,518500,194500
569,518500,194500
570,520500,194500
571,522500,194500
572,524500,194500
573,526500,194500
574,528500,194500
575,528500,194500
576,530500,194500
577,532500,194500
578,534500,194500
579,536500,194500
580,538500,194500
581,540500,194500
582,540500,194500
583,540500,194500
584,542500,194500
585,544500,194500
586,546500,194500
587,548500,194500
588,550500,194500
589,552500,194500
590,552500,194500
591,554500,194500
592,554500,194500
593,503500,193500
594,503500,193500
595,505500,193500
596,507500,193500
597,556500,193500
598,556500,193500
599,509500,192500
600,509500,192500
601,511500,192500
602,511500,192500
603,513500,192500
604,513500,192500
605,515500,192500
606,517500,192500
607,519500,192500
608,521500,192500
609,523500,192500
610,525500,192500
611,527500,192500
612,529500,192500
613,529500,192500
614,531500,192500
615,533500,192500
616,535500,192500
617,537500,192500
618,539500,192500
619,539500,192500
620,541500,192500
621,541500,192500
622,543500,192500
623,545500,192500
624,545500,192500
625,547500,192500
626,547500,192500
627,549500,192500
628,551500,192500
629,553500,192500
630,503500,191500
631,505500,191500
632,507500,191500
633,507500,191500
634,555500,191500
635,557500,191500
636,557500,191500
637,509500,190500
638,511500,190500
639,513500,190500
640,515500,190500
641,517500,190500
642,519500,190500
643,519500,190500
644,519500,190500
645,521500,190500
646,523500,190500
647,525500,190500
648,527500,190500
649,527500,190500
650,529500,190500
651,531500,190500
652,533500,190500
653,535500,190500
654,535500,190500
655,537500,190500
656,539500,190500
657,539500,190500
658,541500,190500
659,543500,190500
660,545500,190500
661,547500,190500
662,547500,190500
663,549500,190500
664,549500,190500
665,551500,190500
666,553500,190500
667,503500,189500
668,503500,189500
669,505500,189500
670,507500,189500
671,555500,189500
672,557500,189500
673,557500,189500
674,559500,189500
675,509500,188500
676,511500,188500
677,511500,188500
678,513500,188500
679,515500,188500
680,517500,188500
681,517500,188500
682,519500,188500
683,519500,188500
684,521500,188500
685,521500,188500
686,523500,188500
687,525500,188500
688,527500,188500
689,527500,188500
690,529500,188500
691,531500,188500
692,533500,188500
693,533500,188500
694,535500,188500
695,537500,188500
696,539500,188500
697,539500,188500
698,541500,188500
699,543500,188500
700,545500,188500
701,547500,188500
702,547500,188500
703,549500,188500
704,549500,188500
705,551500,188500
706,553500,188500
707,503500,187500
708,505500,187500
709,505500,187500
710,507500,187500
711,555500,187500
712,557500,187500
713,559500,187500
714,559500,187500
715,509500,186500
716,511500,186500
717,511500,186500
718,513500,186500
719,515500,186500
720,515500,186500
721,517500,186500
722,519500,186500
723,521500,186500
724,521500,186500
725,523500,186500
726,523500,186500
727,525500,186500
